epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5709,1.27321,1.0936,1.36271,0.80309,0.61345,0.7146,0.45402,1.68581,1.42353,1.66933,0.0011882,0.0011882,0.0011882
43,5843.8,1.2731,1.08719,1.36828,0.84215,0.60955,0.72557,0.4633,1.64998,1.39294,1.62648,0.0011684,0.0011684,0.0011684
44,5982.22,1.26641,1.06756,1.36162,0.8089,0.61773,0.71675,0.4542,1.68733,1.38913,1.65781,0.0011486,0.0011486,0.0011486
45,6117.5,1.24664,1.04838,1.35069,0.81451,0.63748,0.73144,0.46305,1.66321,1.38948,1.66801,0.0011288,0.0011288,0.0011288
46,6259.02,1.2452,1.03084,1.3481,0.80777,0.6284,0.7236,0.45953,1.66973,1.37639,1.63588,0.001109,0.001109,0.001109
47,6393.28,1.23298,1.02618,1.33485,0.79581,0.63374,0.72861,0.46783,1.64611,1.36522,1.63812,0.0010892,0.0010892,0.0010892
48,6532.7,1.22316,0.99901,1.33076,0.79959,0.6497,0.72997,0.46906,1.6638,1.37474,1.6453,0.0010694,0.0010694,0.0010694
49,6667.91,1.21768,1.01345,1.32319,0.81098,0.63908,0.73155,0.46916,1.65708,1.34725,1.6341,0.0010496,0.0010496,0.0010496
50,6807.84,1.19401,0.98129,1.31058,0.8004,0.65083,0.73648,0.47179,1.64637,1.33863,1.63116,0.0010298,0.0010298,0.0010298
51,6946.91,1.18877,0.97829,1.30856,0.81014,0.65158,0.74304,0.47674,1.63617,1.30597,1.61634,0.00101,0.00101,0.00101
52,7081.64,1.20257,0.98234,1.31336,0.85049,0.63054,0.73225,0.46787,1.66672,1.31822,1.65284,0.0009902,0.0009902,0.0009902
53,7216.76,1.17932,0.94885,1.29496,0.8214,0.62859,0.72578,0.46926,1.67324,1.34817,1.66134,0.0009704,0.0009704,0.0009704
